Position Eligibility,Player,Team,Position,Points,Games,Avg
TE/FLEX,Kyle Pitts,ATL,TE,69.5,10,7
TE/FLEX,Dalton Schultz,DAL,TE,67.1,10,6.7
TE/FLEX,T.J. Hockenson,DET,TE,63.9,10,6.4
TE/FLEX,Dallas Goedert,PHI,TE,63.1,10,6.3
TE/FLEX,C.J. Uzomah,CIN,TE,62.2,10,6.2
TE/FLEX,George Kittle,SF,TE,58.1,7,8.3
TE/FLEX,Tyler Conklin,MIN,TE,56.8,10,5.7
TE/FLEX,Pat Freiermuth,PIT,TE,56.7,10,5.7
TE/FLEX,Noah Fant,DEN,TE,55.9,9,6.2
TE/FLEX,Tyler Higbee,LAR,TE,52.4,10,5.2
TE/FLEX,Rob Gronkowski,TB,TE,49.5,5,9.9
TE/FLEX,David Njoku,CLE,TE,49.3,10,4.9
TE/FLEX,Jared Cook,LAC,TE,48.6,10,4.9
TE/FLEX,Mo Alie-Cox,IND,TE,45.1,11,4.1
TE/FLEX,Austin Hooper,CLE,TE,40.1,11,3.7
TE/FLEX,Dan Arnold,Multi,TE,39.9,10,4
TE/FLEX,Donald Parham Jr.,LAC,TE,36.9,10,3.7
TE/FLEX,Ricky Seals-Jones,WAS,TE,35,7,5
TE/FLEX,Jack Doyle,IND,TE,33.7,11,3.1
TE/FLEX,Evan Engram,NYG,TE,33.3,8,4.2
TE/FLEX,MyCole Pruitt,TEN,TE,32.9,9,3.7
TE/FLEX,Robert Tonyan,GB,TE,32.4,8,4.1
TE/FLEX,Foster Moreau,LV,TE,31.2,8,3.9
TE/FLEX,Gerald Everett,SEA,TE,30.2,8,3.8
TE/FLEX,Cole Kmet,CHI,TE,29.6,10,3
TE/FLEX,Jonnu Smith,NE,TE,29,10,2.9
TE/FLEX,Juwan Johnson,NO,TE,28.8,8,3.6
TE/FLEX,Adam Trautman,NO,TE,28.1,9,3.1
TE/FLEX,Tommy Tremble,CAR,TE,26.3,10,2.6
TE/FLEX,Maxx Williams,ARI,TE,25.3,5,5.1
TE/FLEX,Geoff Swaim,TEN,TE,25.1,10,2.5
TE/FLEX,Albert Okwuegbunam,DEN,TE,23.3,7,3.3
TE/FLEX,Kyle Rudolph,NYG,TE,22.7,9,2.5
TE/FLEX,Durham Smythe,MIA,TE,22.1,10,2.2
TE/FLEX,Ryan Griffin,NYJ,TE,21.9,10,2.2
TE/FLEX,Cameron Brate,TB,TE,21.8,9,2.4
