Position Eligibility,Player,Team,Position,Points,Games,Avg
WR/FLEX,Auden Tate,CIN,WR,9.9,4,2.5
WR/FLEX,Jauan Jennings,SF,WR,9.8,6,1.6
WR/FLEX,Jeff Smith,NYJ,WR,9.7,5,1.9
WR/FLEX,Dez Fitzpatrick,TEN,WR,9.5,2,4.8
WR/FLEX,Isaiah McKenzie,BUF,WR,9.3,10,0.9
WR/FLEX,Lil'Jordan Humphrey,NO,WR,9.1,3,3
WR/FLEX,Cameron Batson,TEN,WR,9,4,2.3
WR/FLEX,Josh Reynolds,Multi,WR,9,5,1.8
WR/FLEX,Collin Johnson,NYG,WR,8.9,7,1.3
WR/FLEX,Anthony Miller,HOU,WR,8.3,2,4.2
WR/FLEX,Equanimeous St. Brown,GB,WR,7.9,7,1.1
WR/FLEX,Ashton Dulin,IND,WR,7.9,11,0.7
WR/FLEX,Dyami Brown,WAS,WR,7.7,5,1.5
WR/FLEX,Preston Williams,MIA,WR,7.4,5,1.5
WR/FLEX,KJ Hamler,DEN,WR,7.4,3,2.5
WR/FLEX,Trinity Benson,DET,WR,7.2,6,1.2
WR/FLEX,KhaDarel Hodge,DET,WR,7.1,7,1
WR/FLEX,Dede Westbrook,MIN,WR,6.6,9,0.7
WR/FLEX,Tavon Austin,JAC,WR,6.5,6,1.1
WR/FLEX,C.J. Board,NYG,WR,5.7,6,1
WR/FLEX,Jaelon Darden,TB,WR,5.4,5,1.1
WR/FLEX,Mike Thomas,CIN,WR,5.2,5,1
WR/FLEX,Dax Milne,WAS,WR,5.1,6,0.9
WR/FLEX,Amari Rodgers,GB,WR,5.1,11,0.5
WR/FLEX,Will Fuller V,MIA,WR,4.6,2,2.3
WR/FLEX,Ja'Marcus Bradley,CLE,WR,4.6,1,4.6
WR/FLEX,Alex Erickson,CAR,WR,4.2,11,0.4
WR/FLEX,Penny Hart,SEA,WR,3.8,8,0.5
WR/FLEX,Kevin White,NO,WR,3.8,4,1
WR/FLEX,Ben Skowronek,LAR,WR,3.8,6,0.6
WR/FLEX,Willie Snead IV,Multi,WR,3.8,6,0.6
WR/FLEX,Damiere Byrd,CHI,WR,3.2,4,0.8
WR/FLEX,KJ Hill Jr.,LAC,WR,3,6,0.5
WR/FLEX,Juwann Winfree,GB,WR,3,1,3
WR/FLEX,Laquon Treadwell,JAC,WR,2.9,5,0.6
WR/FLEX,Andre Roberts,Multi,WR,2.8,10,0.3
WR/FLEX,Curtis Samuel,WAS,WR,2.7,2,1.4
WR/FLEX,Mike Strachan,IND,WR,2.6,2,1.3
WR/FLEX,Trenton Irwin,CIN,WR,2.5,3,0.8
WR/FLEX,Marcus Kemp,KC,WR,2.4,8,0.3
WR/FLEX,D'Wayne Eskridge,SEA,WR,2.4,2,1.2
WR/FLEX,J.J. Arcega-Whiteside,PHI,WR,2.3,4,0.6
WR/FLEX,Gunner Olszewski,NE,WR,2.2,10,0.2
WR/FLEX,Christian Blake,ATL,WR,2,6,0.3
WR/FLEX,Josh Gordon,KC,WR,1.8,5,0.4
WR/FLEX,Keith Kirkwood,CAR,WR,1.7,2,0.9
WR/FLEX,Cody White,PIT,WR,1.7,4,0.4
WR/FLEX,Breshad Perriman,TB,WR,1.6,1,1.6
WR/FLEX,Tyron Johnson,JAC,WR,1.6,4,0.4
WR/FLEX,Shi Smith,CAR,WR,1.5,3,0.5
WR/FLEX,Tom Kennedy,DET,WR,1.5,3,0.5
WR/FLEX,Frank Darby,ATL,WR,1.4,1,1.4
WR/FLEX,Tyrell Williams,DET,WR,1.4,1,1.4
WR/FLEX,Kirk Merritt,MIA,WR,1.3,1,1.3
WR/FLEX,Scotty Miller,TB,WR,1.1,2,0.6
WR/FLEX,Dezmon Patmon,IND,WR,0.7,2,0.4
WR/FLEX,Miles Boykin,BAL,WR,0.6,1,0.6
WR/FLEX,Ihmir Smith-Marsette,MIN,WR,0.6,4,0.2
WR/FLEX,Keke Coutee,IND,WR,0.5,1,0.5
WR/FLEX,Stanley Morgan Jr.,CIN,WR,0.3,5,0.1
WR/FLEX,Phillip Dorsett II,Multi,WR,0.3,2,0.2
WR/FLEX,J.J. Koski,LAR,WR,0,2,0
WR/FLEX,Maurice Ffrench,LAC,WR,0,1,0
WR/FLEX,Dillon Stoner,LV,WR,0,2,0
WR/FLEX,Daurice Fountain,KC,WR,0,1,0
WR/FLEX,John Hightower,PHI,WR,0,1,0
WR/FLEX,Greg Dortch,ARI,WR,0,2,0
WR/FLEX,Dan Chisena,MIN,WR,0,1,0
WR/FLEX,JoJo Natson,CLE,WR,0,1,0
WR/FLEX,Pharoh Cooper,NYG,WR,0,2,0
WR/FLEX,Justin Hardee,NYJ,WR,0,7,0
WR/FLEX,Tylan Wallace,BAL,WR,0,4,0
WR/FLEX,Andy Isabella,ARI,WR,0,2,0
WR/FLEX,Devin Smith,JAC,WR,0,1,0
WR/FLEX,Racey McMath,TEN,WR,0,2,0
WR/FLEX,Tutu Atwell,LAR,WR,0,6,0
WR/FLEX,Matthew Slater,NE,WR,0,7,0
WR/FLEX,Jake Kumerow,BUF,WR,0,3,0
WR/FLEX,Josh Hammond,JAC,WR,0,1,0
WR/FLEX,Brandon Smith,DAL,WR,0,1,0
WR/FLEX,Travis Benjamin,SF,WR,0,1,0
WR/FLEX,Geronimo Allison,DET,WR,0,1,0
WR/FLEX,John Brown,Multi,WR,0,2,0
WR/FLEX,David Sills V,NYG,WR,0,1,0
WR/FLEX,Antonio Gandy-Golden,WAS,WR,0,1,0
WR/FLEX,Mason Kinsey,TEN,WR,0,1,0
WR/FLEX,Jaydon Mickens,TB,WR,0,6,0
WR/FLEX,Damion Ratley,FA,WR,0,1,0
WR/FLEX,Allen Hurns,MIA,WR,0,3,0
WR/FLEX,David Moore,DEN,WR,0,1,0
WR/FLEX,Nsimba Webster,CHI,WR,0,4,0
WR/FLEX,Tyrie Cleveland,DEN,WR,0,4,0
WR/FLEX,Diontae Spencer,DEN,WR,-0.3,9,0
WR/FLEX,Malik Taylor,GB,WR,-0.6,5,-0.1
WR/FLEX,Jakeem Grant Sr.,Multi,WR,-5,10,-0.5
